Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
Gunman,0.308,0.965,8.0,-3.172,1.0,0.0591,2.28e-05,0.0648,0.117,0.189,175.036,audio_features,3Mz5lXbMBK2tUmKAwAJwi1,spotify:track:3Mz5lXbMBK2tUmKAwAJwi1,https://api.spotify.com/v1/tracks/3Mz5lXbMBK2tUmKAwAJwi1,https://api.spotify.com/v1/audio-analysis/3Mz5lXbMBK2tUmKAwAJwi1,317733.0,4.0,celticmetal

NoMoreHollywoodEndings,0.5,0.925,4.0,-3.467,0.0,0.0378,0.00094,0.0,0.294,0.372,92.988,audio_features,7AstJIsEomp0hJyMasOqLN,spotify:track:7AstJIsEomp0hJyMasOqLN,https://api.spotify.com/v1/tracks/7AstJIsEomp0hJyMasOqLN,https://api.spotify.com/v1/audio-analysis/7AstJIsEomp0hJyMasOqLN,234787.0,4.0,celticmetal

Promises,0.479,0.977,2.0,-4.515,1.0,0.086,1.66e-05,5.31e-05,0.298,0.139,150.01,audio_features,1L4UqbKtfM4bk3UdOzrXny,spotify:track:1L4UqbKtfM4bk3UdOzrXny,https://api.spotify.com/v1/tracks/1L4UqbKtfM4bk3UdOzrXny,https://api.spotify.com/v1/audio-analysis/1L4UqbKtfM4bk3UdOzrXny,285925.0,4.0,celticmetal

RagnarsKv��i,0.519,0.944,11.0,-4.89,0.0,0.0552,0.0003,2.67e-05,0.395,0.439,108.05,audio_features,3RHQgksnzhtbgBpFwYhMgr,spotify:track:3RHQgksnzhtbgBpFwYhMgr,https://api.spotify.com/v1/tracks/3RHQgksnzhtbgBpFwYhMgr,https://api.spotify.com/v1/audio-analysis/3RHQgksnzhtbgBpFwYhMgr,248187.0,4.0,celticmetal

AngusMcFife,0.495,0.959,0.0,-3.621,1.0,0.0367,0.000216,2.18e-06,0.339,0.667,90.024,audio_features,4sBlQ2yaxrj8zF7J8EE6cA,spotify:track:4sBlQ2yaxrj8zF7J8EE6cA,https://api.spotify.com/v1/tracks/4sBlQ2yaxrj8zF7J8EE6cA,https://api.spotify.com/v1/audio-analysis/4sBlQ2yaxrj8zF7J8EE6cA,208227.0,4.0,celticmetal

